Date,avg_sentiment,message_count,avg_likes,avg_replies,avg_reposts,price,negative,neutral,positive,positive_ratio,negative_ratio,neutral_ratio,price_return_1d,price_return_3d,price_return_7d,sentiment_3d_avg,sentiment_7d_avg,volume_change,company,next_price,return_pct,target
2023-09-04,0.8225159090909091,44,0.29545454545454547,0.13636363636363635,0.0,2469.604248046875,1,40,3,0.06818181818181818,0.022727272727272728,0.9090909090909091,0.008387596497384298,0.008387596497384298,-0.0007481917793144,0.7856349326599327,0.7968945706927472,1.4444444444444446,Adani_Enterprises,2493.044677734375,0.009491573277798752,1
2023-09-05,0.8186666666666667,33,0.36363636363636365,0.06060606060606061,0.030303030303030304,2493.044677734375,1,31,1,0.030303030303030304,0.030303030303030304,0.9393939393939394,0.009491573277798704,0.017958781261962375,-0.004947243210354446,0.8011238215488214,0.7967856991989442,-0.25,Adani_Enterprises,2495.49365234375,0.0009823227923859653,0
2023-09-06,0.8325919999999999,25,0.28,0.2,0.08,2495.49365234375,5,18,2,0.08,0.2,0.72,0.00098232279238597,0.01895874537450548,-0.006605465819603196,0.8245915252525252,0.8008421675830191,-0.24242424242424243,Adani_Enterprises,2508.488525390625,0.00520733564466105,1
2023-09-07,0.826911111111111,18,0.3888888888888889,0.1111111111111111,0.05555555555555555,2508.488525390625,2,13,3,0.16666666666666666,0.1111111111111111,0.7222222222222222,0.005207335644661137,0.015745145148054585,0.037304949474289195,0.8260565925925926,0.8028414602880113,-0.28,Adani_Enterprises,2518.284423828125,0.0039050999589382495,0
2023-09-08,0.8225235294117648,17,0.47058823529411764,0.0,0.058823529411764705,2518.284423828125,1,13,3,0.17647058823529413,0.058823529411764705,0.7647058823529411,0.003905099958938285,0.010124064891082307,0.02826466201990563,0.8273422135076253,0.8082283007384772,-0.05555555555555558,Adani_Enterprises,2518.284423828125,0.0,0
2023-09-09,0.842709090909091,11,0.2727272727272727,0.18181818181818182,0.0,2518.284423828125,0,7,4,0.36363636363636365,0.0,0.6363636363636364,0.0,0.009132770769811449,0.02826466201990563,0.8307145771439889,0.8183010280112045,-0.3529411764705882,Adani_Enterprises,2518.284423828125,0.0,0
2023-09-10,0.8134227272727272,22,0.3181818181818182,0.09090909090909091,0.045454545454545456,2518.284423828125,2,14,6,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.0,0.003905099958938285,0.02826466201990563,0.826218449197861,0.8256201477803241,1.0,Adani_Enterprises,2613.895751953125,0.03796685045593784,1
2023-09-11,0.8336061224489796,49,0.6122448979591837,0.04081632653061224,0.04081632653061224,2613.895751953125,7,30,12,0.24489795918367346,0.14285714285714285,0.6122448979591837,0.03796685045593784,0.03796685045593784,0.058426974289651934,0.8299126468769327,0.8272044639743343,1.227272727272727,Adani_Enterprises,2534.677734375,-0.030306494633128588,0
2023-09-12,0.7831974358974358,39,0.358974358974359,0.05128205128205128,0.02564102564102564,2534.677734375,5,28,6,0.15384615384615385,0.1282051282051282,0.717948717948718,-0.030306494633128622,0.0065097136732295,0.01669968332796201,0.8100754285397143,0.8221374310073013,-0.20408163265306123,Adani_Enterprises,2517.884521484375,-0.006625383835932052,0
2023-09-13,0.7736826923076923,52,0.09615384615384616,0.21153846153846154,0.019230769230769232,2517.884521484375,7,41,4,0.07692307692307693,0.1346153846153846,0.7884615384615384,-0.0066253838359320305,-0.0001587995144496368,0.008972520975798037,0.7968287502180359,0.8137218156226859,0.33333333333333326,Adani_Enterprises,2518.784423828125,0.0003574041367153241,0
2023-09-14,0.8053,55,0.16363636363636364,0.05454545454545454,0.05454545454545454,2518.784423828125,5,35,15,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.00035740413671536686,-0.036386810014872206,0.004104423174866589,0.7873933760683761,0.8106345140353844,0.05769230769230771,Adani_Enterprises,2539.026123046875,0.008036296805419358,1
2023-09-15,0.8660437499999999,48,0.5833333333333334,0.20833333333333334,0.10416666666666667,2539.026123046875,4,41,3,0.0625,0.08333333333333333,0.8541666666666666,0.008036296805419285,0.0017155587919137627,0.008236440261668143,0.8150088141025641,0.8168516884051323,-0.12727272727272732,Adani_Enterprises,2539.026123046875,0.0,0
2023-09-16,0.7693000000000001,7,0.42857142857142855,0.14285714285714285,0.14285714285714285,2539.026123046875,1,5,1,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.0083965731478568,0.008236440261668143,0.8135479166666667,0.8063646754181193,-0.8541666666666666,Adani_Enterprises,2539.026123046875,0.0,0
2023-09-17,0.846025,4,0.75,0.0,0.0,2539.026123046875,1,3,0,0.0,0.25,0.75,0.0,0.008036296805419285,0.008236440261668143,0.8271229166666667,0.8110221429505868,-0.4285714285714286,Adani_Enterprises,2501.441162109375,-0.014802904387764786,0
2023-09-18,0.8395272727272727,22,0.4090909090909091,0.18181818181818182,0.13636363636363635,2501.441162109375,3,17,2,0.09090909090909091,0.13636363636363635,0.7727272727272727,-0.01480290438776477,-0.01480290438776477,-0.04302183427159367,0.8182840909090908,0.8118680215617715,4.5,Adani_Enterprises,2501.441162109375,0.0,0
